
*497 - CONDOMINIO EDIFICIO RES. SOLAR DO CANTO                                                       ;ARTUR LUIZ MARTINS BARBOSA ME 003559                                      ;3.1.1.51 - SERVICO HIDRAULICO                     ;270                 ;1599                ;INCLUSAO            ;29/10/2021          ;1635526146          ;          
#-Pinturas casa de máquinas e acesso caixas                                                           ;

*437 - CONDOMINIO EDIFICIO RESIDENCIAL BESENELLO                                                     ;HUGO MARIO VERGARA ME 000093                                              ;3.1.1.43 - CONSERTO INTERFONE                     ;150,00              ;2855                ;INCLUSAO            ;05/11/2021          ;1636115003          ;8454      
#-SERVIÇO REALIZADO NO DIA 30/10/21.

CONSERTO DO SISTEMA DE INTERFONE. A PLACA DE CHAMADA DA RUA NÃO FAZIA LIGAÇÃO. FOI IDENTIFICADO QUE O PROBLEMA ESTAVA NA FIAÇÃO NO QUADRO DA GARAGEM. FEITA UMA EMENDA E ESTENDIDO O CABO DESDE O QUADRO ATÉ A CENTRAL QUE FICA DO OUTRO LADO DA PAREDE.;

*420 - CONDOMINIO RESIDENCIAL SANTIAGO                                                               ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;130,70              ;2432                ;INCLUSAO            ;05/11/2021          ;1636116327          ;          
#-DETERGENTE E DESINFETANTE E LUVA ETC                                                                ;

*532 - CONDOMINIO RESIDENCIAL ATHENAS                                                                ;HIDRO BOMBINHAS 000066                                                    ;3.1.1.47 - LIMPEZA PISCINA                        ;343,00              ;11037               ;INCLUSAO            ;05/11/2021          ;1636119790          ;Não tem   
#-01CLORO TRADICONAL
02 ALGICIDA MANUTENCAO
01 ALGICIDA CHOQUE                                      ;

*135 - CONDOMINIO RESIDENCIAL BRISAS DO MAR (BOMBAS)                                                 ;HIDRO BOMBINHAS 000066                                                    ;3.1.1.47 - LIMPEZA PISCINA                        ;268,00              ;11032               ;INCLUSAO            ;05/11/2021          ;1636120022          ;Não tem   
#-02 LIMPA BORDAS
01 M20
01 MPLUS
02 ELIMINADOR DE OLEOSIDADE                                      ;

*160 - CONDOMINIO EDIFICIO RESIDENCIAL ORLANDO TOBALDINI                                             ;PAULO TEODORO ALVES 001260                                                ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;28,00               ;003885              ;INCLUSAO            ;05/11/2021          ;1636132861          ;          
#-REJUNTE AREOIA
REJUNTE BRANCO
SILICONE BRANC0                                                     ;

*110 - CONDOMINIO EDIFICIO CONDOMINIO GREEN HOUSE                                                    ;PAULO TEODORO ALVES 001260                                                ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;132,00              ;003884              ;INCLUSAO            ;05/11/2021          ;1636133053          ;          
#-SILICONE ACETICO TRANSPARENTE                                                                       ;

*492 - CONDOMINIO EDIFICIO MORADA QUATRO ILHAS                                                       ;AUTO FOSSA BOMBINHAS LTDA - ME 003812                                     ;3.1.1.07 - LIMPEZA FOSSA/CX GORDURA               ;900                 ;5389                ;INCLUSAO            ;05/11/2021          ;1636135249          ;s/n       
#-Limpeza de fossa carga grande
Limpeza de 3 caixas de gordura (não cobrou 1)                        ;

*540 - CONDOMINIO RESIDENCIAL VILLAGE ECO PARK                                                       ;AUTO FOSSA BOMBINHAS LTDA - ME 003812                                     ;3.1.1.07 - LIMPEZA FOSSA/CX GORDURA               ;600                 ;5386                ;INCLUSAO            ;05/11/2021          ;1636135318          ;s/n       
#-Limpeza de fossa carga grande
e uma caixa de gordura                                               ;

*553 - CONDOMINIO ENSEADA DOS GALEOES                                                                ;AUTO FOSSA BOMBINHAS LTDA - ME 003812                                     ;3.1.1.07 - LIMPEZA FOSSA/CX GORDURA               ;600                 ;5387                ;INCLUSAO            ;05/11/2021          ;1636135409          ;s/n       
#-Limpeza de fossa carga grande
                                                                     ;

*147 - CONDOMINIO EDIFICIO RESIDENCIAL LAELIA PURPURATA                                              ;AUTO FOSSA BOMBINHAS LTDA - ME 003812                                     ;3.1.1.07 - LIMPEZA FOSSA/CX GORDURA               ;900                 ;5388                ;INCLUSAO            ;05/11/2021          ;1636135590          ;s/n       
#-Limpeza de fossa carga grande
Limpeza de 3 caixas de gordura (não cobrou 1)                        ;

*431 - CONDOMINIO EDIFICIO RESIDENCIAL MARISA                                                        ;AUTO FOSSA BOMBINHAS LTDA - ME 003812                                     ;3.1.1.07 - LIMPEZA FOSSA/CX GORDURA               ;600                 ;5397                ;INCLUSAO            ;05/11/2021          ;1636135789          ;s/n       
#-Limpeza de fossa carga grande                                                                       ;

*112 - CONDOMINIO EDIFICIO GUARAPARI                                                                 ;AUTO FOSSA BOMBINHAS LTDA - ME 003812                                     ;3.1.1.07 - LIMPEZA FOSSA/CX GORDURA               ;600                 ;5396                ;INCLUSAO            ;05/11/2021          ;1636135957          ;s/n       
#-Limpeza de fossa carga grande
e uma caixa de gordura                                               ;

*540 - CONDOMINIO RESIDENCIAL VILLAGE ECO PARK                                                       ;ILUMISUL COM MATERIAIS ELETRICOS LTDA 000070                              ;3.1.1.51 - MATERIAL ELETRICO                      ;254,70              ;67180               ;INCLUSAO            ;08/11/2021          ;1636370960          ;          
#-RELE FOTOELETRICO
ESPETO JARDIM                                                                    ;

*420 - CONDOMINIO RESIDENCIAL SANTIAGO                                                               ;ILUMISUL COM MATERIAIS ELETRICOS LTDA 000070                              ;3.1.1.51 - MATERIAL ELETRICO                      ;1327,12             ;67190               ;INCLUSAO            ;08/11/2021          ;1636371075          ;          
#-CHAVE TESTE
CABO FLEX 750V
SENSOR EXATRON                                                         ;

*115 - CONDOMINIO EDF. MIRANTE DO MAR APART HOTEL                                                    ;MARCOS ROGERIO LUNARDON 08373946942 MEI 003655                            ;3.1.1.51 - SERVICO SERRALHERIA                    ;550,00              ;524                 ;INCLUSAO            ;08/11/2021          ;1636373988          ;          
#-TROCA DE ROLDANA DE PORTÃO BASCULANTE
CONSERTO DE PORTÃO DE PEDESTRES                              ;

*545 - CONDOMINIO VILLA LUNA                                                                         ;MARCOS ROGERIO LUNARDON 08373946942 MEI 003655                            ;3.1.1.51 - SERVICO SERRALHERIA                    ;250,00              ;525                 ;INCLUSAO            ;08/11/2021          ;1636374143          ;          
#-CONSERTO PORTA  BLOCO - E
DOBRADIÇA SUPERIOR  MUITO JUSTA ,SEGURANDO PORTA - AJUSTADA
REGULAGEM DE MOLA;

*454 - CONDOMINIO RESIDENCIAL GABRIELA ZANCANARO                                                     ;MARCOS ROGERIO LUNARDON 08373946942 MEI 003655                            ;3.1.1.51 - SERVICO SERRALHERIA                    ;1250,00             ;526                 ;INCLUSAO            ;08/11/2021          ;1636374228          ;          
#-CONSERTO DE PORTA
TROCA DE MOLA - DORMA
TROCA DE DOBRADIÇA INFERIOR                               ;

*540 - CONDOMINIO RESIDENCIAL VILLAGE ECO PARK                                                       ;HIDRO BOMBINHAS 000066                                                    ;3.1.1.47 - LIMPEZA PISCINA                        ;521,00              ;11063               ;INCLUSAO            ;08/11/2021          ;1636377028          ;Não tem   
#-01 CLORO PACE 
01 LIMPA BORDAS
01 01 ELEVADOR DE ALCALINIDADE 
01 REAGENTE PH
01 REAGENTE AT 1
01 REAGENTE AT 2
01 REAGENTE CL
01 FITA TESTE
01 MAXFLOC;

*491 - CONDOMINIO VILA QUATRO ILHAS                                                                  ;VERATONI MATERIAIS DE CONSTRUCAO 000085                                   ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;540,00              ;081121              ;INCLUSAO            ;08/11/2021          ;1636383477          ;          
#-REFILAMENTO DE MADERIRA P/DECK                                                                      ;

*541 - CONDOMINIO VILA MALLORCA                                                                      ;OSCAR SUSSUMU SHINA MEI 000040                                            ;3.1.1.51 - SERVICO ELETRICO                       ;600                 ;797                 ;INCLUSAO            ;08/11/2021          ;1636393152          ;0         
#-INSTALACAO DO TEMPORIZADOR NAS TORRES DA CASA DE MAQUINAS E TROCAS DE PORTAS DO HIDRANTE            ;

*419 - CONDOMINIO RESIDENCIAL MARBELLA                                                               ;OSCAR SUSSUMU SHINA MEI 000040                                            ;3.1.1.51 - SERVICO ELETRICO                       ;500                 ;798                 ;INCLUSAO            ;08/11/2021          ;1636393218          ;0         
#-VERIFICAR MOTO BOMBAS E TROCA DAS BOIAS ELETRICAS                                                   ;

*053 - CONDOMINIO RESIDENCIAL DAS QUATRO ILHAS                                                       ;MAIRA CRISTINA PIRES 05301128922 001263                                   ;3.1.1.45 - MANUTENCAO JARDIM                      ;230,00              ;101283              ;INCLUSAO            ;08/11/2021          ;1636396963          ;          
#-manutenção mensal                                                                                   ;

*112 - CONDOMINIO EDIFICIO GUARAPARI                                                                 ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;120,50              ;2443                ;INCLUSAO            ;08/11/2021          ;1636405745          ;          
#-LUVA E SILICONE E DETERGENTE ETC                                                                    ;

*517 - CONDOMINIO RESIDENCIAL VARADERO                                                               ;ANDERSON JOSE BILCKE 000901                                               ;3.1.1.45 - MANUTENCAO JARDIM                      ;380,00              ;770                 ;INCLUSAO            ;08/11/2021          ;1636414982          ;A1        
#-LIMPEZA GERAL DO JARDIM COM CAPINA QUÍMICA                                                          ;

*551 - CONDOMINIO EDIFICIO TERRA E MAR                                                               ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;45,25               ;16468               ;INCLUSAO            ;08/11/2021          ;1636415455          ;1A        
#-SACO DE LIXO E LIMPADOR MULTIUSO                                                                    ;

*501 - CONDOMINIO PUNTA BLÚ MALL BOUTIQUE                                                            ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;282,30              ;16414               ;INCLUSAO            ;08/11/2021          ;1636415531          ;1A        
#-SABAO EM PO PAPEL HIGIENICO LIMPADOR PERFUMADO E LUVA                                               ;

*503 - CONDOMINIO RESIDENCIAL BAIA DOURADA                                                           ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;120,10              ;16425               ;INCLUSAO            ;08/11/2021          ;1636415583          ;1A        
#-DETERGENTE LIMPADOR PERFUMADO AGUA SANITARIA LIMPA AZULEJO PANO LUVA LATEX LIMPA VIDROS             ;

*472 - CONDOMINIO ED. RES. ALAMEDA VERDE                                                             ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;216,95              ;16431               ;INCLUSAO            ;08/11/2021          ;1636415630          ;1A        
#-COALA AROMATIZANTE OLEO DE PEROBA SACO PARA LIXO E CLORO                                            ;

*101 - CONDOMINIO RESIDENCIAL VIRGILIO DELL AGNOLO                                                   ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;181,40              ;16437               ;INCLUSAO            ;08/11/2021          ;1636415674          ;1A        
#-ALCOOL PERFUMADO LIMPADOR PERFUMADO PANO MICROFIBRA VASSOURA E SACO PARA LIXO                       ;

*486 - CONDOMINIO PALM BEACH                                                                         ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;99,80               ;16442               ;INCLUSAO            ;08/11/2021          ;1636415706          ;1A        
#-ALCOOL PERFUMADO E CLORO                                                                            ;

*504 - CONDOMINIO RESIDENCIAL SIGNUS                                                                 ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;190,85              ;16449               ;INCLUSAO            ;08/11/2021          ;1636415751          ;1A        
#-SILICONE LIQUIDO CLORO DETERGENTE ODORIZANTE VASSOURA E SABAO                                       ;

*380 - CONDOMINIO ED. RES. FLOR DA MANHÃ                                                             ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;333,35              ;16458               ;INCLUSAO            ;08/11/2021          ;1636415805          ;1A        
#-VASSOURA AMACIANTE DETERGENTE DESENGORDURANTE ALCOOL SABAO AROMATIZANTE ODORIZANTE PANOS BALDE      ;

*545 - CONDOMINIO VILLA LUNA                                                                         ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;99,50               ;16466               ;INCLUSAO            ;08/11/2021          ;1636415841          ;1A        
#-INSETICIDA E VASSOURA                                                                               ;

*021 - CONDOMINIO ED. RES. DANTE ALIGUIERI BLOCO A                                                   ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;173,30              ;16474               ;INCLUSAO            ;08/11/2021          ;1636415904          ;1A        
#-PANO AGUA SANITRAIA ODORIZANTE LIMPA PORCELANATO MULTIUSO LIMPA VIDROS SABAO PLACA E LUVA           ;

*021 - CONDOMINIO ED. RES. DANTE ALIGUIERI BLOCO A                                                   ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;200,25              ;16475               ;INCLUSAO            ;08/11/2021          ;1636415961          ;1A        
#-AGUA SANITARIA LIMPA PISOS LIMPA PORCELANATO SAPOLIO PANOS ODORIZANTE PLACA E LUVA                  ;

*020 - CONDOMINIO ED. VICTOR HUGO I                                                                  ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;183,60              ;16476               ;INCLUSAO            ;08/11/2021          ;1636416012          ;1A        
#-LIMPA PISOS LIMPA PORCELANATO SABAO SAPOLIO SUPORTE PARA FIBRAS ODORIZANTE PLACA E LUVA             ;

*013 - CONDOMINIO ED. VICTOR HUGO II                                                                 ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;205,55              ;16477               ;INCLUSAO            ;08/11/2021          ;1636416080          ;1A        
#-ODORIZANTE MULTIUSO LIMPA PISOS SABAO LIMPA VIDROS VASSOURA DE PALHA PLACA E LUVA                   ;

*144 - CONDOMINIO EDIFICIO RESIDENCIAL PARADISO                                                      ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;320,00              ;953                 ;INCLUSAO            ;08/11/2021          ;1636416703          ;          
#-Instalar 5 luminarias, 5 saida, conserto curto                                                      ;

*530 - CONDOMINIO RESIDENCIAL HESS                                                                   ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.41 - CONSERTO PORTAO                        ;380,00              ;954                 ;INCLUSAO            ;08/11/2021          ;1636416880          ;          
#-Troca mola aérea recondicionada, troca parafusos e pintura                                          ;

*486 - CONDOMINIO PALM BEACH                                                                         ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.41 - CONSERTO PORTAO                        ;300,00              ;955                 ;INCLUSAO            ;08/11/2021          ;1636416998          ;          
#-Troca placa portão garagem                                                                          ;

*085 - CONDOMINIO RESIDENCIAL LARISSA                                                                ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO HIDRAULICO                     ;172                 ;956                 ;INCLUSAO            ;08/11/2021          ;1636417094          ;          
#-Troca válvula retenção ponteira                                                                     ;

*085 - CONDOMINIO RESIDENCIAL LARISSA                                                                ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO HIDRAULICO                     ;170,00              ;956                 ;INCLUSAO            ;08/11/2021          ;1636417195          ;          
#-Troca válvula retenção da ponteira                                                                  ;

*485 - CONDOMINIO RESIDENCIAL EGIDIO PINHEIRO                                                        ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ALVENARIA                      ;160,00              ;957                 ;INCLUSAO            ;08/11/2021          ;1636417317          ;          
#-Conserto telhado                                                                                    ;

*140 - CONDOMINIO EDIFICIO RESIDENCIAL BEIJA-FLOR II                                                 ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;1050,00             ;958                 ;INCLUSAO            ;08/11/2021          ;1636417495          ;          
#-Instalar luminárias e sensores, refazer ligação em todos os andares padrão bombeiros , identificar andares;

*541 - CONDOMINIO VILA MALLORCA                                                                      ;ILUMISUL COM MATERIAIS ELETRICOS LTDA 000070                              ;3.1.1.51 - MATERIAL ELETRICO                      ;747,25              ;67258               ;INCLUSAO            ;09/11/2021          ;1636456746          ;          
#-SENSOR EXATRON
SENSOR EXATRON
LAMP. A60                                                           ;

*497 - CONDOMINIO EDIFICIO RES. SOLAR DO CANTO                                                       ;AUTO FOSSA BOMBINHAS LTDA - ME 003812                                     ;3.1.1.07 - LIMPEZA FOSSA/CX GORDURA               ;1.120               ;5404                ;INCLUSAO            ;09/11/2021          ;1636486571          ;s/n       
#-Limpeza de fossa carga grande
Limpeza de 5 caixas de gordura (não cobrou 1)                        ;

*380 - CONDOMINIO ED. RES. FLOR DA MANHÃ                                                             ;HUGO MARIO VERGARA ME 000093                                              ;3.1.1.41 - CONSERTO PORTAO                        ;350,00              ;964                 ;INCLUSAO            ;09/11/2021          ;1636489179          ;8469      
#-TROCA DOS BOTÕES DE SAÍDA DAS PORTAS DAS GARAGENS                                                   ;

*380 - CONDOMINIO ED. RES. FLOR DA MANHÃ                                                             ;HUGO MARIO VERGARA ME 000093                                              ;3.1.1.41 - CONSERTO PORTAO                        ;460,00              ;965                 ;INCLUSAO            ;09/11/2021          ;1636489418          ;8459      
#-TROCA MOLA AÉREA PORTA GARAGEM DO LADO APTO ZELADOR.                                                ;

*491 - CONDOMINIO VILA QUATRO ILHAS                                                                  ;ANDRE SLOWIK 76544613991 000855                                           ;3.1.1.51 - SERVICO HIDRAULICO                     ;1200,00             ;364                 ;INCLUSAO            ;09/11/2021          ;1636490916          ;1         
#-LAVAÇÃO 4 CISTERNAS 5000L, 2 CAIXAS SUPERIORES COM 15000L                                           ;

*118 - CONDOMINIO ED. RESIDENCIAL SHANGRILA                                                          ;ANDRE SLOWIK 76544613991 000855                                           ;3.1.1.51 - SERVICO PINTURA                        ;3500,00             ;365                 ;INCLUSAO            ;09/11/2021          ;1636491027          ;1         
#-Pinturas garagem: teto, paredes,  faixas e porta elevador                                           ;

*540 - CONDOMINIO RESIDENCIAL VILLAGE ECO PARK                                                       ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;580,00              ;2608                ;INCLUSAO            ;09/11/2021          ;1636491352          ;          
#-RODO E CABO
E VASSOURAS E SACO LIXOE LAVA ROUPAS ETC                                               ;

*105 - CONDOMINIO EDF. RESIDENCIAL MAGGIORE                                                          ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;835,00              ;33667               ;INCLUSAO            ;10/11/2021          ;1636543110          ;1A        
#-abastecimento 2 p45                                                                                 ;

*494 - CONDOMINIO RESIDENCIAL GRËN GARTEN                                                            ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;420,00              ;33664               ;INCLUSAO            ;10/11/2021          ;1636543199          ;1A        
#-abastecimento 1 p45                                                                                 ;

*540 - CONDOMINIO RESIDENCIAL VILLAGE ECO PARK                                                       ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;3285,36             ;33663               ;INCLUSAO            ;10/11/2021          ;1636543371          ;1A        
#-abastecimento 8 p45                                                                                 ;

*544 - CONDOMINIO RESIDENCIAL POSITANO                                                               ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;813,23              ;33651               ;INCLUSAO            ;10/11/2021          ;1636543710          ;1A        
#-abastecimento 2 p45                                                                                 ;

*504 - CONDOMINIO RESIDENCIAL SIGNUS                                                                 ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;406,21              ;33650               ;INCLUSAO            ;10/11/2021          ;1636543870          ;1A        
#-abastecimento 1 p45                                                                                 ;

*517 - CONDOMINIO RESIDENCIAL VARADERO                                                               ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;804,55              ;33649               ;INCLUSAO            ;10/11/2021          ;1636543909          ;1A        
#-abastecimento 2 p45                                                                                 ;

*135 - CONDOMINIO RESIDENCIAL BRISAS DO MAR (BOMBAS)                                                 ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;840,00              ;33647               ;INCLUSAO            ;10/11/2021          ;1636544004          ;1A        
#-abastecimento 2 p45                                                                                 ;

*551 - CONDOMINIO EDIFICIO TERRA E MAR                                                               ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;420,00              ;33640               ;INCLUSAO            ;10/11/2021          ;1636544157          ;1A        
#-abastecimento 1 p45                                                                                 ;

*135 - CONDOMINIO RESIDENCIAL BRISAS DO MAR (BOMBAS)                                                 ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;120,00              ;33628               ;INCLUSAO            ;10/11/2021          ;1636544256          ;1A        
#-abastecimento 1 p13                                                                                 ;

*479 - CONDOMINIO RESIDENCIAL MORADAS                                                                ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;1260,00             ;33627               ;INCLUSAO            ;10/11/2021          ;1636544383          ;1A        
#-abastecimento 3 p45                                                                                 ;

*465 - CONDOMINIO RESIDENCIAL VISTA BELA                                                             ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;1070,00             ;33626               ;INCLUSAO            ;10/11/2021          ;1636544506          ;1A        
#-abastecimento 2 p45 e 2 p13                                                                         ;

*487 - CONDOMINIO EDIFICIO RESIDENCIAL PORTOFINO II                                                  ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;840,00              ;33625               ;INCLUSAO            ;10/11/2021          ;1636544705          ;1A        
#-abastecimento 2 p45                                                                                 ;

*534 - LA ROSADITA - ASS. DOS MOR. DA RUA BIGUA 336                                                  ;HUGO MARIO VERGARA ME 000093                                              ;3.1.1.41 - CONSERTO PORTAO                        ;180,00              ;2867                ;INCLUSAO            ;10/11/2021          ;1636549146          ;8468      
#-REVISÃO FECHADURA PORTA HALL DE ENTRADA E TROCA DAS PILHAS.                                         ;

*507 - CONDOMINIO RESIDENCIAL VARANDAS DO ATLANTICO                                                  ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;880,00              ;33674               ;INCLUSAO            ;10/11/2021          ;1636556710          ;1A        
#-ABASTECIMENTO 2 P45                                                                                 ;

*419 - CONDOMINIO RESIDENCIAL MARBELLA                                                               ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;420,00              ;33697               ;INCLUSAO            ;10/11/2021          ;1636556919          ;1A        
#-ABASTECIMENTO 1 P45                                                                                 ;

*491 - CONDOMINIO VILA QUATRO ILHAS                                                                  ;OSCAR SUSSUMU SHINA MEI 000040                                            ;3.1.1.51 - SERVICO ELETRICO                       ;400                 ;799                 ;INCLUSAO            ;10/11/2021          ;1636574704          ;0         
#-TROCA DE TRES BOIAS ELETRICAS                                                                       ;

*147 - CONDOMINIO EDIFICIO RESIDENCIAL LAELIA PURPURATA                                              ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;682,00              ;2453                ;INCLUSAO            ;10/11/2021          ;1636575308          ;          
#-VASSOURA E DETERGENTE GERAL E SACO LIXO E PANO E ALKLIN E MICRO ETC                                 ;

*491 - CONDOMINIO VILA QUATRO ILHAS                                                                  ;DOUGLAS ZOLETTE 001381                                                    ;3.1.1.41 - CONSERTO PORTAO                        ;70                  ;1023                ;INCLUSAO            ;10/11/2021          ;1636598326          ;          
#-Codificação de controle de portão bloco B apartamento 201 e apartamento 102                         ;

*078 - CONDOMINIO ED. RES. BELLANI                                                                   ;MARCOS ROGERIO LUNARDON 08373946942 MEI 003655                            ;3.1.1.51 - SERVICO SERRALHERIA                    ;500,00              ;531                 ;INCLUSAO            ;11/11/2021          ;1636629415          ;          
#-COLOCAÇÃO DE PORTA DE LIXEIRA EM ALUMINIO COR MARROM                                                ;

*475 - CONDOMINIO BOULEVARD BOMBINHAS                                                                ;ILUMISUL COM MATERIAIS ELETRICOS LTDA 000070                              ;3.1.1.51 - MATERIAL ELETRICO                      ;87,48               ;67348               ;INCLUSAO            ;11/11/2021          ;1636631281          ;          
#-REFLETOR LED                                                                                        ;

*140 - CONDOMINIO EDIFICIO RESIDENCIAL BEIJA-FLOR II                                                 ;ILUMISUL COM MATERIAIS ELETRICOS LTDA 000070                              ;3.1.1.51 - MATERIAL ELETRICO                      ;433,85              ;67192               ;INCLUSAO            ;11/11/2021          ;1636631379          ;          
#-PARAFUSO CAB.
BUCHA PLAST.
PLACA SAIDA                                                            ;

*140 - CONDOMINIO EDIFICIO RESIDENCIAL BEIJA-FLOR II                                                 ;ILUMISUL COM MATERIAIS ELETRICOS LTDA 000070                              ;3.1.1.51 - MATERIAL ELETRICO                      ;62,70               ;67193               ;INCLUSAO            ;11/11/2021          ;1636631440          ;          
#-BRAVA MOD. TOM.                                                                                     ;

*506 - CONDOMINIO EDIFICIO DON JUAN RESIDENCE                                                        ;JOAO RICARDO MULLER DE SIQUEIRA 38630494204 004538                        ;3.1.1.51 - SERVICO HIDRAULICO                     ;1700,00             ;2618                ;INCLUSAO            ;11/11/2021          ;1636634788          ;          
#-LIMPEZA DE CAIXAS E CISTERNAS                                                                       ;

*545 - CONDOMINIO VILLA LUNA                                                                         ;VERATONI MATERIAIS DE CONSTRUCAO 000085                                   ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;976,27              ;497102              ;INCLUSAO            ;11/11/2021          ;1636638450          ;          
#-ROLO / BOIA AUTOMATICA / FIRA ISOL./ ARGAMASSA /  CIMENTI/ SPOT / BLOCO CONCRETO/ MADEIRA/ REBITE/ DOBRADIÇA/ REMOVEDOR MONTANA/ LONA PLASTICA/ ;

*530 - CONDOMINIO RESIDENCIAL HESS                                                                   ;VERATONI MATERIAIS DE CONSTRUCAO 000085                                   ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;109,17              ;309180              ;INCLUSAO            ;11/11/2021          ;1636638625          ;          
#-PAINEL LED/ LAMPADA                                                                                 ;

*501 - CONDOMINIO PUNTA BLÚ MALL BOUTIQUE                                                            ;VERATONI MATERIAIS DE CONSTRUCAO 000085                                   ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;279,57              ;494816              ;INCLUSAO            ;11/11/2021          ;1636638737          ;          
#-TRINCHA/ CONVERTOR FERRUGEM/ ESCOVA DE ACO/ ROLO / LUVA/ WD 40/ TINTA 900 ML/ BATERIA / PILHA       ;

*400 - CONDOMINIO PANORÂMICO BOMBINHAS                                                               ;VERATONI MATERIAIS DE CONSTRUCAO 000085                                   ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;912,01              ;496009              ;INCLUSAO            ;11/11/2021          ;1636639566          ;          
